group,radius_um,coh_median,coh_q25,coh_q75,coh_n_cells,neigh_median,neigh_q25,neigh_q75,neigh_n_cells,ANE_median,ANE_q25,ANE_q75,ANE_density_median,ANE_density_q25,ANE_density_q75
11q13 Invasive Tumor Cells,25.0,0.8540292231549353,0.6729770585978014,0.9423743138940133,11534,3.0,1.0,6.0,13405,2.7349870924881543,1.0857901339069953,4.915790933626571,0.0013929174881984656,0.0005529883743094696,0.0025035917641375743
11q13 Invasive Tumor Cells,50.0,0.7389140831581558,0.5757009744814512,0.8546323311042184,13162,10.0,5.0,18.0,13405,6.698570474435011,2.970314372488303,13.113233035271397,0.0008528884821246037,0.00037819217193473177,0.001669628685983505
11q13 Invasive Tumor Cells,100.0,0.6177406690434881,0.5061008058624418,0.7260449949317189,13387,32.0,17.0,55.0,13405,18.4747109392476,9.38511940953282,33.86251973270542,0.0005880683136350336,0.0002987376291069676,0.0010778774802013829
11q13 Invasive Tumor Cells,200.0,0.5381821141117319,0.4731357142814192,0.6068704781811662,13396,102.0,58.0,162.0,13405,54.34985949337907,31.193011267891563,85.8873351557331,0.00043250243973606264,0.00024822609666030665,0.0006834696969512621
11q13 Invasive Tumor Cells (G1/S),25.0,0.9140220460667182,0.8038752008909029,0.9749460183170506,192,0.0,0.0,1.0,605,0.9686563028432025,0.8376573133642935,1.3813241859458352,0.00049333260401477,0.00042661536652481303,0.0007035026310581378
11q13 Invasive Tumor Cells (G1/S),50.0,0.8629381761663524,0.6243797808784659,0.9481425291209445,327,1.0,0.0,1.0,605,0.9768638498292745,0.7977983753109616,1.8571764706516902,0.00012437816834248637,0.00010157884401713813,0.00023646305239854141
11q13 Invasive Tumor Cells (G1/S),100.0,0.6996266093568387,0.4789287094387219,0.888405222123322,475,2.0,1.0,3.0,605,1.3444566045014188,0.8060888815710376,2.5227951578833254,4.279538287578923e-05,2.5658606014689613e-05,8.030306395708594e-05
11q13 Invasive Tumor Cells (G1/S),200.0,0.5542450090187808,0.41825132309252155,0.7054283809192005,570,5.0,3.0,8.0,605,2.757805350635319,1.4083567674626665,4.669966655374977,2.1945917681944433e-05,1.1207347058930317e-05,3.716241386386266e-05
"CAFs, Invasive Associated",25.0,0.9420121818462421,0.8321653136676825,0.9809867885947868,1303,1.0,0.0,1.0,2493,0.9967256817681311,0.9168203707521307,1.9264275900678007,0.00050762822131212,0.00046693278058414645,0.0009811215150972732
"CAFs, Invasive Associated",50.0,0.8838555047558592,0.7132217343265529,0.9598518221986022,2066,2.0,1.0,4.0,2493,1.9488502643782177,0.9903931258324233,3.4101189707887123,0.00024813532233739237,0.00012610076926437096,0.00043418983258597616
